highway,name,lat,lon
,姫島IC,34.705912,135.455005
,大和田IC,34.70847,135.448561
,尼崎東IC,34.711535,135.428712
,尼崎西IC,34.715323,135.393039
,武庫川IC,34.717041,135.378426
,西宮IC/JCT,34.726531,135.354987
,芦屋IC,34.732486,135.322948
,深江IC,34.717856,135.286014
,魚崎IC,34.711816,135.271892
,摩耶IC,34.702912,135.226503
,生田川IC,34.693317,135.203764
,柳原IC,34.668409,135.169227
,湊川IC/JCT,34.657882,135.151938
,月見山IC,34.652231,135.122091
,湊川IC,34.657882,135.151938
,北港西IC,34.666759,135.419792
,中島IC,34.691616,135.409926
,尼崎東海岸IC,34.69731,135.401419
,尼崎末広IC,34.695928,135.390944
,鳴尾浜IC,34.697412,135.365124
,甲子園浜IC,34.710343,135.34822
,西宮浜IC,34.715646,135.336887
,南芦屋浜IC,34.713829,135.312458
,深江浜IC,34.711275,135.299349
,住吉浜IC,34.705626,135.267203
,魚崎浜IC,34.704548,135.274008
,六甲アイランド北IC,34.695158,135.272798
,伊川谷JCT,34.677042,135.014502
,永井谷JCT,34.684973,135.022512
,永井谷IC,34.68574,135.02438
,前開IC,34.699176,135.057296
,布施畑西IC,34.694173,135.077955
,布施畑東IC,34.699655,135.08924
,白川JCT,34.707357,135.098367
,しあわせの村IC,34.713354,135.108299
,藍那IC,34.732393,135.128901
,箕谷IC,34.757277,135.158241
,からと西IC,34.771,135.205242
,からと東IC,34.784496,135.217921
,有馬口JCT,34.794639,135.226857
,有馬口IC,34.796659,135.228729
,西宮山口南IC,34.818054,135.250044
,西宮山口東IC,34.832032,135.257984
,西宮山口JCT,34.834942,135.26153
,五社IC,34.804968,135.215228
,柳谷JCT,34.807158,135.200225
,神戸長田IC,34.663987,135.146232
,妙法寺IC,34.677095,135.108669
,白川南IC,34.686212,135.106586
,山科IC,34.971563,135.796322
,鴨川東IC,34.972864,135.76747
,鴨川西IC,34.97221782664724,135.76290333132442
,上鳥羽IC,34.96311982891705,135.75278216695793
,城南宮北IC,34.954912,135.75213
,城南宮南IC,34.94632761808174,135.75175490765506
,伏見IC,34.931012,135.751027
,第二京阪道路/阪神高速道路接続SA,34.914137,135.749712
,福田IC,34.447105,132.54046
,温品IC,34.416087,132.51481
,間所IC,34.40496218328993,132.51040038739995
,温品JCT,34.404183,132.508227
,矢賀IC,34.400542,132.501405
,府中IC,34.393713,132.501268
,東雲IC,34.378144,132.498445
,仁保IC,34.364252,132.499215
,仁保JCT,34.356861,132.497261
,宇品IC,34.355326,132.471806
,中広IC,34.402239,132.44198
,香椎東IC,33.666894,130.441405
,香椎IC,33.661845,130.439198
,香椎浜IC,33.65303,130.4296
,名島IC,33.642046,130.423298
,貝塚JCT,33.635598,130.420199
,東浜IC,33.615302,130.411064
,千鳥橋JCT,33.607659,130.407082
,築港IC,33.604139,130.401671
,天神北IC,33.600837,130.392022
,西公園IC,33.600163,130.376105
,百道IC,33.594981,130.356523
,愛宕IC,33.585128,130.340487
,姪浜IC,33.579327,130.329789
,石丸/福重IC,33.571479,130.31673
,呉服町IC,33.602627,130.409763
,千代IC,33.598789,130.416891
,博多駅東IC,33.594367,130.424911
,豊JCT,33.597388,130.429954
,榎田IC,33.59285,130.435799
,半道橋IC,33.584154,130.440289
,月隈IC,33.573001,130.454012
,金の隈IC,33.562745,130.467542
,大野城IC,33.553116,130.47662
,水城IC,33.531411,130.491378
,空港通IC,33.598674,130.431904
,松島IC,33.631902,130.434579
,多の津IC,33.628294,130.448717
,粕屋IC,33.626885,130.469707
,小倉東IC,33.832714,130.910332
,横代IC,33.839283,130.899565
,若園IC,33.845727,130.881939
,篠崎南IC,33.863209,130.874216
,紫川JCT,33.866342,130.868429
,篠崎北IC,33.868194,130.871215
,大手町IC,33.874983,130.87194
,下到津IC,33.880015,130.858647
,小倉駅北IC,33.889585,130.872726
,東港JCT,33.890769,130.868561
,日明IC,33.895711,130.862496
,西港IC,33.900245,130.852481
,戸畑IC,33.901482,130.834544
,若戸IC,33.901271,130.825674
,愛宕JCT,33.88418,130.863013
,大里IC,33.902369,130.943357
,富野IC,33.884121,130.907385
,足立IC,33.875678,130.8884
,山路IC,33.859133,130.846945
,大谷JCT,33.857821,130.804515
,黒崎IC,33.842313,130.765558
,小嶺IC,33.817193,130.749266
,馬場山IC,33.792136,130.744888
,金剛IC,33.786879,130.746086
,枝光IC,33.875927,130.810317
,東田IC,33.868158,130.806047
,名和IC,35.50145,133.50727
,大山IC,35.478151,133.46545
,吉備南IC,34.05427530808491,135.20109009395665
,有田南IC,34.05427530808491,135.20109009395665
,湯浅IC,34.029531486525144,135.20086533503462
,広川南IC,33.9693431267449,135.1972843394038
,川辺IC,33.934378734176384,135.19488392935858
,尾花沢北IC,38.658287,140.364111
,毒沢仮出入口IC,38.672634,140.328379
,川原子IC,38.672634,140.328379
,舟形IC,38.70302,140.309472
,大館南IC,40.2691,140.528711
,大館北IC,40.30374,140.564161
,仁賀保（両前寺）IC,39.306557,139.98064
,釜石両石IC,39.30096352509973,141.87212891140294
,釜石北IC,39.33683619622817,141.88050256424546
,淡路IC,34.582891,135.016161
,東浦IC,34.544125,134.981512
,北淡IC,34.521355,134.892511
,津名一宮IC,34.442195,134.873255
,洲本IC,34.342474,134.840855
